Date,Gas tank in %
21.06.2017,8
22.06.2017,95
02.04.2018,48
03.08.2018,48
14.04.2019,10
24.05.2019,7
25.05.2019,100
17.10.2019,95
22.01.2020,75
04.04.2020,65
02.07.2020,65
11.11.2020,58
24.11.2020,53
08.01.2021,38
02.04.2021,23
04.07.2021,18
05.07.2021,65
13.08.2021,65
29.11.2021,53
02.01.2022,43
23.02.2022,33
01.04.2022,28
29.05.2022,22
30.05.2022,95
19.07.2022,95
01.11.2022,93
01.12.2022,90
24.12.2022,85
31.01.2023,73
01.04.2023,63
04.06.2023,63
04.07.2023,63
04.08.2023,63
02.11.2023,62
08.12.2023,53
25.12.2023,50
06.01.2024,48
24.01.2024,42
05.02.2024,40
14.02.2024,39
26.02.2024,37
06.03.2024,35
15.03.2024,35
